Date,Entity,Site,Commodity,GHGEmissions_tCO2e,WaterUse_m3,Energy_kWh,TRIFR,LTIFR,Scenario
2023-01-01,Canada,North Pit,Gold,5312.3,18403.2,736672.0,5.8,1.67,Actual
2023-01-01,Canada,North Pit,Copper,2379.5,12742.8,423828.8,2.28,2.21,Actual
2023-01-01,Canada,North Pit,Zinc,3588.6,13146.8,667519.1,3.13,0.97,Actual
2023-01-01,Canada,North Pit,Nickel,4432.7,19839.8,1197537.3,0.75,2.42,Budget
2023-01-01,Canada,South Pit,Gold,3863.5,9595.8,1113116.2,1.22,1.85,Budget
2023-01-01,Canada,South Pit,Copper,2311.7,8342.0,458985.1,2.67,0.98,Actual
2023-01-01,Canada,South Pit,Zinc,3283.6,20462.9,1267448.0,1.34,0.72,Actual
2023-01-01,Canada,South Pit,Nickel,3792.9,19266.0,938708.0,4.2,3.68,Actual
2023-01-01,Canada,Mill A,Gold,3076.9,12052.7,1099023.7,4.78,2.24,Actual
2023-01-01,Canada,Mill A,Copper,3763.1,11741.2,967911.0,3.7,0.24,Budget
2023-01-01,Canada,Mill A,Zinc,3966.1,13558.8,1074329.9,3.55,1.86,Budget
2023-01-01,Canada,Mill A,Nickel,3231.3,15280.3,896195.5,3.52,2.49,Actual
2023-01-01,Canada,Mill B,Gold,2294.7,12592.9,1008138.3,2.93,0.94,Budget
2023-01-01,Canada,Mill B,Copper,3660.2,19937.1,1023531.7,4.3,0.71,Budget
2023-01-01,Canada,Mill B,Zinc,4006.6,10249.0,625231.8,4.55,1.85,Budget
2023-01-01,Canada,Mill B,Nickel,2664.3,17716.6,1198682.5,0.8,1.3,Budget
2023-01-01,Holding Company,North Pit,Gold,2070.0,9249.5,788454.7,4.59,2.07,Budget
2023-01-01,Holding Company,North Pit,Copper,2397.8,8092.7,638254.9,3.56,1.9,Actual
2023-01-01,Holding Company,North Pit,Zinc,3441.2,16079.1,568668.1,2.92,1.86,Actual
2023-01-01,Holding Company,North Pit,Nickel,3340.1,10009.1,663212.6,2.26,2.68,Actual
2023-01-01,Holding Company,South Pit,Gold,2801.2,23690.8,1472569.8,5.35,3.48,Actual
2023-01-01,Holding Company,South Pit,Copper,4974.4,11244.6,1037197.7,2.15,2.42,Actual
2023-01-01,Holding Company,South Pit,Zinc,2091.1,10156.1,980568.3,4.29,0.78,Budget
2023-01-01,Holding Company,South Pit,Nickel,2775.1,12843.3,586449.2,1.31,1.08,Actual
2023-01-01,Holding Company,Mill A,Gold,4996.7,17738.0,682327.6,3.28,2.62,Budget
2023-01-01,Holding Company,Mill A,Copper,2160.4,12706.6,1176520.8,3.42,2.83,Actual
2023-01-01,Holding Company,Mill A,Zinc,4855.7,12029.8,921077.3,3.83,0.23,Budget
2023-01-01,Holding Company,Mill A,Nickel,2194.5,12863.1,953809.3,2.34,0.98,Budget
2023-01-01,Holding Company,Mill B,Gold,3220.7,11506.6,505168.9,4.89,2.86,Budget
2023-01-01,Holding Company,Mill B,Copper,2805.5,15287.3,694577.4,0.66,0.69,Actual
2023-01-01,Holding Company,Mill B,Zinc,2928.4,19135.9,792669.9,2.31,1.02,Budget
2023-01-01,Holding Company,Mill B,Nickel,4003.7,16611.2,651950.6,3.87,2.72,Budget
2023-01-01,Alberta,North Pit,Gold,3489.5,8003.4,620108.0,1.82,1.16,Actual
2023-01-01,Alberta,North Pit,Copper,2314.5,8501.7,969902.7,2.71,1.65,Actual
2023-01-01,Alberta,North Pit,Zinc,2222.9,10755.5,973002.2,3.43,1.94,Budget
2023-01-01,Alberta,North Pit,Nickel,4339.4,14858.3,1299298.8,3.34,1.47,Actual
2023-01-01,Alberta,South Pit,Gold,3613.1,12016.7,1339712.9,2.05,0.4,Actual
2023-01-01,Alberta,South Pit,Copper,3375.6,12092.3,1256304.6,2.85,3.63,Actual
2023-01-01,Alberta,South Pit,Zinc,2515.3,7028.7,600009.3,4.22,1.63,Actual
2023-01-01,Alberta,South Pit,Nickel,4126.1,11246.5,522581.8,4.02,2.69,Budget
2023-01-01,Alberta,Mill A,Gold,4814.2,17017.8,1096874.7,4.57,1.1,Budget
2023-01-01,Alberta,Mill A,Copper,5121.4,8871.5,664596.6,4.06,1.91,Actual
2023-01-01,Alberta,Mill A,Zinc,3890.7,10669.9,776637.5,2.33,1.8,Actual
2023-01-01,Alberta,Mill A,Nickel,4324.2,17639.9,721457.0,4.49,2.86,Budget
2023-01-01,Alberta,Mill B,Gold,4292.8,12204.7,1065635.7,1.87,0.56,Actual
2023-01-01,Alberta,Mill B,Copper,4458.7,15392.3,688298.2,3.02,0.61,Budget
2023-01-01,Alberta,Mill B,Zinc,4794.7,13599.8,1133933.4,4.63,0.72,Budget
2023-01-01,Alberta,Mill B,Nickel,3005.8,8063.8,569519.2,1.99,1.88,Actual
2023-01-01,Quebec,North Pit,Gold,2809.7,15493.7,799647.3,1.76,1.39,Budget
2023-01-01,Quebec,North Pit,Copper,4466.9,11933.2,716698.8,1.07,2.89,Budget
2023-01-01,Quebec,North Pit,Zinc,5789.8,17222.5,764891.0,5.04,2.41,Actual
2023-01-01,Quebec,North Pit,Nickel,1905.2,7830.3,866917.3,2.86,1.68,Actual
2023-01-01,Quebec,South Pit,Gold,4764.6,18403.9,823866.6,2.71,0.95,Budget
2023-01-01,Quebec,South Pit,Copper,2208.7,15468.0,938966.7,0.91,1.15,Actual
2023-01-01,Quebec,South Pit,Zinc,4103.7,9915.2,1167623.5,0.68,1.59,Actual
2023-01-01,Quebec,South Pit,Nickel,2257.3,10429.2,929408.8,4.12,0.7,Budget
2023-01-01,Quebec,Mill A,Gold,5319.2,13624.7,1043070.2,1.76,3.0,Actual
2023-01-01,Quebec,Mill A,Copper,3090.3,21560.6,947954.6,0.64,0.54,Actual
2023-01-01,Quebec,Mill A,Zinc,4432.5,14594.6,1112264.9,2.56,1.21,Budget
2023-01-01,Quebec,Mill A,Nickel,2647.0,13557.7,589090.4,4.47,1.43,Actual
2023-01-01,Quebec,Mill B,Gold,4421.8,16940.3,1101865.5,3.36,0.37,Actual
2023-01-01,Quebec,Mill B,Copper,2150.3,13256.7,693196.7,3.71,1.34,Actual
2023-01-01,Quebec,Mill B,Zinc,2552.6,10774.4,774757.3,4.06,1.65,Budget
2023-01-01,Quebec,Mill B,Nickel,3568.0,14646.0,718808.9,0.64,2.01,Actual
2023-01-01,Ontario,North Pit,Gold,4987.1,17878.4,1481003.3,3.93,3.32,Actual
2023-01-01,Ontario,North Pit,Copper,2143.3,9069.9,1108874.1,4.58,0.57,Budget
2023-01-01,Ontario,North Pit,Zinc,3264.7,9151.3,466985.5,0.47,1.03,Actual
2023-01-01,Ontario,North Pit,Nickel,3872.5,15041.1,1019541.1,1.64,1.41,Budget
2023-01-01,Ontario,South Pit,Gold,4426.9,14634.6,702119.0,1.5,0.99,Budget
2023-01-01,Ontario,South Pit,Copper,4100.1,17385.5,683687.8,4.4,3.44,Actual
2023-01-01,Ontario,South Pit,Zinc,2451.2,16931.8,1153788.9,0.77,1.14,Budget
2023-01-01,Ontario,South Pit,Nickel,2207.8,18207.9,1071561.1,0.97,2.41,Budget
2023-01-01,Ontario,Mill A,Gold,3613.2,16780.0,904553.2,3.91,2.0,Actual
2023-01-01,Ontario,Mill A,Copper,3386.2,12636.3,648728.0,1.84,1.37,Budget
2023-01-01,Ontario,Mill A,Zinc,2664.0,14650.1,1164102.1,1.99,1.79,Budget
2023-01-01,Ontario,Mill A,Nickel,3238.7,12535.4,680793.4,4.99,2.7,Budget
2023-01-01,Ontario,Mill B,Gold,2745.9,14812.1,934927.9,5.83,1.84,Actual
2023-01-01,Ontario,Mill B,Copper,4535.8,16795.3,1095827.9,2.84,1.75,Budget
2023-01-01,Ontario,Mill B,Zinc,4155.7,15744.9,740420.9,4.36,1.5,Budget
2023-01-01,Ontario,Mill B,Nickel,4699.2,16285.4,1270514.3,1.72,2.18,Actual
2023-01-01,British Columbia,North Pit,Gold,3342.9,9830.3,558003.1,1.24,1.67,Actual
2023-01-01,British Columbia,North Pit,Copper,4320.1,10798.1,620974.3,0.68,2.82,Actual
2023-01-01,British Columbia,North Pit,Zinc,2555.3,11820.3,597090.8,2.13,1.08,Actual
2023-01-01,British Columbia,North Pit,Nickel,2422.1,15926.1,990345.5,4.39,2.98,Budget
2023-01-01,British Columbia,South Pit,Gold,5213.5,19904.7,734529.6,0.92,1.29,Actual
2023-01-01,British Columbia,South Pit,Copper,5427.7,14404.1,1230825.8,2.08,1.24,Actual
2023-01-01,British Columbia,South Pit,Zinc,4571.1,18685.7,619707.8,1.8,2.63,Budget
2023-01-01,British Columbia,South Pit,Nickel,3463.7,11658.3,1115575.1,2.43,1.99,Budget
2023-01-01,British Columbia,Mill A,Gold,2064.3,15636.5,1077654.6,2.16,1.9,Budget
2023-01-01,British Columbia,Mill A,Copper,3326.6,17405.6,715473.6,1.96,0.73,Actual
2023-01-01,British Columbia,Mill A,Zinc,5565.6,13804.6,933436.2,2.04,1.01,Actual
2023-01-01,British Columbia,Mill A,Nickel,4656.7,13418.8,951035.6,0.72,1.38,Budget
2023-01-01,British Columbia,Mill B,Gold,2233.2,9478.8,794663.7,3.63,0.26,Actual
2023-01-01,British Columbia,Mill B,Copper,2155.2,11536.4,1068446.4,1.43,1.47,Actual
2023-01-01,British Columbia,Mill B,Zinc,2852.6,23677.0,1095688.8,4.99,3.0,Actual
2023-01-01,British Columbia,Mill B,Nickel,2489.2,19661.0,582729.8,4.47,2.11,Budget
2023-01-01,Nova Scotia,North Pit,Gold,3499.5,21152.8,1446856.7,5.27,1.17,Actual
2023-01-01,Nova Scotia,North Pit,Copper,5472.5,23737.2,1517124.8,1.93,1.97,Actual
2023-01-01,Nova Scotia,North Pit,Zinc,2397.5,13623.0,904143.8,4.9,1.88,Budget
2023-01-01,Nova Scotia,North Pit,Nickel,2269.4,15112.0,848350.0,3.81,0.45,Budget
2023-01-01,Nova Scotia,South Pit,Gold,2817.1,14670.9,770294.4,1.16,1.11,Actual
2023-01-01,Nova Scotia,South Pit,Copper,4082.4,9816.8,1154762.4,0.6,2.45,Budget
2023-01-01,Nova Scotia,South Pit,Zinc,3680.6,15782.1,1124435.4,0.59,2.86,Budget
2023-01-01,Nova Scotia,South Pit,Nickel,4312.1,21832.5,913176.5,6.05,3.42,Actual
2023-01-01,Nova Scotia,Mill A,Gold,3342.5,10831.4,965539.0,1.84,0.71,Budget
2023-01-01,Nova Scotia,Mill A,Copper,2229.0,18221.5,1079022.1,2.55,2.15,Budget
2023-01-01,Nova Scotia,Mill A,Zinc,3084.2,10608.0,678697.3,2.35,1.61,Actual
2023-01-01,Nova Scotia,Mill A,Nickel,3390.4,13085.7,883586.3,1.79,1.32,Actual
2023-01-01,Nova Scotia,Mill B,Gold,3087.4,15616.0,512695.5,4.06,1.63,Actual
2023-01-01,Nova Scotia,Mill B,Copper,2639.6,12690.5,1006124.9,1.05,1.65,Budget
2023-01-01,Nova Scotia,Mill B,Zinc,2477.9,7617.4,523828.2,1.1,1.49,Actual
2023-01-01,Nova Scotia,Mill B,Nickel,3165.2,10455.3,603985.6,1.51,0.33,Budget
2023-02-01,Canada,North Pit,Gold,3275.3,12128.1,975546.0,1.36,1.5,Actual
2023-02-01,Canada,North Pit,Copper,3218.9,18930.4,920549.5,3.63,2.95,Budget
2023-02-01,Canada,North Pit,Zinc,2452.9,8990.4,750561.6,1.83,1.22,Actual
2023-02-01,Canada,North Pit,Nickel,4936.9,18351.1,981837.6,2.98,0.87,Budget
2023-02-01,Canada,South Pit,Gold,4324.0,13480.3,993784.1,4.15,1.71,Actual
2023-02-01,Canada,South Pit,Copper,4880.5,14288.1,650094.0,5.46,0.56,Actual
2023-02-01,Canada,South Pit,Zinc,1509.8,10266.9,513712.0,0.94,0.31,Actual
2023-02-01,Canada,South Pit,Nickel,4414.0,9064.6,598300.8,4.97,2.12,Budget
2023-02-01,Canada,Mill A,Gold,5493.2,11418.3,1426109.1,2.81,0.92,Actual
2023-02-01,Canada,Mill A,Copper,3409.3,8768.5,980407.7,4.26,1.94,Actual
2023-02-01,Canada,Mill A,Zinc,4333.2,10168.5,992059.3,1.6,0.44,Budget
2023-02-01,Canada,Mill A,Nickel,4726.9,17383.3,1100840.8,0.78,0.71,Budget
2023-02-01,Canada,Mill B,Gold,5832.3,22589.5,891531.5,4.95,2.74,Actual
2023-02-01,Canada,Mill B,Copper,2458.5,10872.8,428921.9,1.73,1.82,Actual
2023-02-01,Canada,Mill B,Zinc,4154.2,17417.8,831894.6,1.81,2.92,Budget
2023-02-01,Canada,Mill B,Nickel,3844.4,17555.3,1188041.1,1.45,3.57,Actual
2023-02-01,Holding Company,North Pit,Gold,4065.5,8089.5,814099.2,1.03,1.02,Budget
2023-02-01,Holding Company,North Pit,Copper,5540.6,11496.7,1239608.5,5.01,2.78,Actual
2023-02-01,Holding Company,North Pit,Zinc,2201.0,14399.8,613303.7,3.27,1.73,Budget
2023-02-01,Holding Company,North Pit,Nickel,2105.6,10803.1,764543.9,3.74,0.53,Actual
2023-02-01,Holding Company,South Pit,Gold,4000.3,11745.4,527125.9,0.96,1.74,Budget
2023-02-01,Holding Company,South Pit,Copper,2650.6,18202.3,614166.0,0.78,0.77,Budget
2023-02-01,Holding Company,South Pit,Zinc,4987.5,15058.5,818491.0,3.93,1.26,Budget
2023-02-01,Holding Company,South Pit,Nickel,3307.1,19320.5,592277.5,1.28,0.28,Budget
2023-02-01,Holding Company,Mill A,Gold,3295.1,12087.1,505126.7,2.95,2.12,Budget
2023-02-01,Holding Company,Mill A,Copper,2579.9,18947.8,682161.8,2.3,0.29,Budget
2023-02-01,Holding Company,Mill A,Zinc,4958.5,13925.6,1091867.2,3.4,2.99,Budget
2023-02-01,Holding Company,Mill A,Nickel,3828.5,18389.9,1065870.1,4.43,2.34,Actual
2023-02-01,Holding Company,Mill B,Gold,4544.8,18287.6,1073164.7,2.64,0.66,Actual
2023-02-01,Holding Company,Mill B,Copper,3101.8,20951.4,953477.7,0.56,0.31,Actual
2023-02-01,Holding Company,Mill B,Zinc,2120.4,11184.3,1003512.7,1.79,2.07,Budget
2023-02-01,Holding Company,Mill B,Nickel,3270.6,11650.9,753612.8,3.91,3.23,Actual
2023-02-01,Alberta,North Pit,Gold,4652.8,19476.4,644557.2,1.78,0.99,Budget
2023-02-01,Alberta,North Pit,Copper,5020.9,14295.0,642647.2,1.26,3.25,Actual
2023-02-01,Alberta,North Pit,Zinc,2673.7,13958.1,723234.5,4.38,1.37,Budget
2023-02-01,Alberta,North Pit,Nickel,3287.9,11300.1,1047740.1,1.53,0.94,Budget
2023-02-01,Alberta,South Pit,Gold,4348.0,16445.6,1046604.4,1.9,1.45,Budget
2023-02-01,Alberta,South Pit,Copper,2173.6,7671.5,960476.2,1.04,1.99,Actual
2023-02-01,Alberta,South Pit,Zinc,2942.4,18938.1,885447.7,1.06,2.9,Budget
2023-02-01,Alberta,South Pit,Nickel,3281.9,9434.7,586051.7,2.71,1.21,Actual
2023-02-01,Alberta,Mill A,Gold,3706.9,12247.2,669311.8,1.73,0.29,Actual
2023-02-01,Alberta,Mill A,Copper,4721.2,16658.8,809176.0,4.76,2.58,Budget
2023-02-01,Alberta,Mill A,Zinc,2166.8,12892.9,1163450.6,3.15,2.73,Budget
2023-02-01,Alberta,Mill A,Nickel,2295.7,7163.5,651573.6,1.98,0.22,Actual
2023-02-01,Alberta,Mill B,Gold,4628.4,16319.5,958700.3,1.03,2.61,Budget
2023-02-01,Alberta,Mill B,Copper,2291.8,9326.8,633508.8,2.66,0.51,Budget
2023-02-01,Alberta,Mill B,Zinc,2706.3,13587.8,1160157.4,1.72,1.77,Budget
2023-02-01,Alberta,Mill B,Nickel,4185.2,12132.8,846727.3,4.85,0.55,Budget
2023-02-01,Quebec,North Pit,Gold,2260.3,8469.4,1109977.0,1.09,2.45,Budget
2023-02-01,Quebec,North Pit,Copper,4311.3,11320.6,954144.0,0.56,2.74,Budget
2023-02-01,Quebec,North Pit,Zinc,3292.0,16418.3,916014.8,1.04,2.07,Budget
2023-02-01,Quebec,North Pit,Nickel,4883.9,14047.5,526142.8,3.91,1.84,Budget
2023-02-01,Quebec,South Pit,Gold,4640.3,16451.4,724667.7,1.91,1.36,Actual
2023-02-01,Quebec,South Pit,Copper,2801.0,15318.9,843464.0,1.98,0.55,Budget
2023-02-01,Quebec,South Pit,Zinc,3491.2,9563.2,949320.6,0.83,0.93,Budget
2023-02-01,Quebec,South Pit,Nickel,4669.0,17852.3,1031676.8,2.28,2.35,Budget
2023-02-01,Quebec,Mill A,Gold,2939.3,18303.7,726985.9,1.69,0.83,Budget
2023-02-01,Quebec,Mill A,Copper,2880.1,18876.6,826027.0,3.75,1.0,Actual
2023-02-01,Quebec,Mill A,Zinc,4193.3,14689.6,568706.9,4.06,1.49,Budget
2023-02-01,Quebec,Mill A,Nickel,4708.1,19475.2,828006.8,3.23,1.18,Actual
