Date,Entity,Site,Commodity,EquipmentUtilization,DowntimeHours,TonnesMoved,Scenario
2023-01-01,Canada,North Pit,Gold,73.10890415965768,23.170480610010248,81709.76701802158,Budget
2023-01-01,Canada,North Pit,Copper,93.27500072434707,13.827351206395793,39862.062666686215,Budget
2023-01-01,Canada,North Pit,Zinc,85.61978796339918,19.927453495847075,54333.8626488285,Budget
2023-01-01,Canada,North Pit,Nickel,86.54374037893491,25.235275830175343,79855.3696761772,Actual
2023-01-01,Canada,South Pit,Gold,49.69858146470266,17.576931577104094,49125.47342290222,Actual
2023-01-01,Canada,South Pit,Copper,49.696835305954714,4.660748789038421,28892.42358461326,Actual
2023-01-01,Canada,South Pit,Zinc,42.843569684952314,6.294721156154634,24942.563834058892,Actual
2023-01-01,Canada,South Pit,Nickel,100.0,18.26456448954567,106413.0221280884,Actual
2023-01-01,Canada,Mill A,Gold,86.7750088152772,14.595900979513544,43813.87373938041,Actual
2023-01-01,Canada,Mill A,Copper,84.7825402228616,17.81783329674414,42046.48717513105,Budget
2023-01-01,Canada,Mill A,Zinc,60.72045730035308,23.894181016508245,88164.61877497303,Budget
2023-01-01,Canada,Mill A,Nickel,93.9468448256698,7.248094225558976,72849.7744194252,Budget
2023-01-01,Canada,Mill B,Gold,89.13549242801476,14.03717330268481,72330.09257077807,Budget
2023-01-01,Canada,Mill B,Copper,67.43186887373966,8.848220757742787,63554.2039954338,Budget
2023-01-01,Canada,Mill B,Zinc,51.58314443480641,17.785781351014737,54277.014958553664,Actual
2023-01-01,Canada,Mill B,Nickel,66.41915784487018,24.291603716033055,72123.87832602678,Budget
2023-01-01,Holding Company,North Pit,Gold,70.64847850358382,14.574033637807002,97747.83643905062,Budget
2023-01-01,Holding Company,North Pit,Copper,79.7245271054027,7.202902398822224,46398.497735672165,Actual
2023-01-01,Holding Company,North Pit,Zinc,71.53956418575558,19.719495905041267,42874.71473834852,Actual
2023-01-01,Holding Company,North Pit,Nickel,70.19301990693147,18.94282700984798,34005.2941393721,Budget
2023-01-01,Holding Company,South Pit,Gold,87.78939207038789,13.040295084553732,82030.2773123537,Actual
2023-01-01,Holding Company,South Pit,Copper,48.508961637630186,17.00755619709437,51163.602960827775,Actual
2023-01-01,Holding Company,South Pit,Zinc,60.00740413651566,20.949497739628836,32288.820361706283,Actual
2023-01-01,Holding Company,South Pit,Nickel,72.82266451527921,16.157076982603908,55517.72545827311,Budget
