Date,Entity,Site,Commodity,OreProcessed,Grade,RecoveryRate,MetalProduced,Scenario
2023-01-01,Canada,North Pit,Gold,51678.0,0.00258,0.9308,2185.8,Actual
2023-01-01,Canada,North Pit,Copper,51683.6,0.0315,0.7672,653.5,Actual
2023-01-01,Canada,North Pit,Zinc,98415.3,0.01452,0.8579,1363.8,Budget
2023-01-01,Canada,North Pit,Nickel,99505.6,0.01427,0.8804,451.1,Budget
2023-01-01,Canada,South Pit,Gold,99649.4,0.02862,0.8799,985.1,Budget
2023-01-01,Canada,South Pit,Copper,69587.9,0.02465,0.8821,1535.2,Actual
2023-01-01,Canada,South Pit,Zinc,71972.5,0.02274,0.9448,1613.6,Budget
2023-01-01,Canada,South Pit,Nickel,30346.7,0.02085,0.7479,1158.7,Actual
2023-01-01,Canada,Mill A,Gold,112830.6,0.01832,0.9794,2068.3,Actual
2023-01-01,Canada,Mill A,Copper,46230.5,0.01327,0.8624,33.0,Budget
2023-01-01,Canada,Mill A,Zinc,95749.3,0.01885,0.8218,282.5,Actual
2023-01-01,Canada,Mill A,Nickel,68684.2,0.01115,0.8022,955.2,Budget
2023-01-01,Canada,Mill B,Gold,65479.6,0.01876,0.8701,115.3,Actual
2023-01-01,Canada,Mill B,Copper,36089.5,0.00874,0.7287,1991.4,Budget
2023-01-01,Canada,Mill B,Zinc,60685.4,0.0096,0.8577,1364.7,Budget
2023-01-01,Canada,Mill B,Nickel,91099.1,0.01026,0.7636,802.5,Budget
2023-01-01,Holding Company,North Pit,Gold,78410.0,0.02441,1.0,1590.6,Actual
2023-01-01,Holding Company,North Pit,Copper,97277.9,0.00768,0.9011,479.0,Actual
2023-01-01,Holding Company,North Pit,Zinc,54179.9,0.01382,1.0,362.7,Actual
2023-01-01,Holding Company,North Pit,Nickel,100480.5,0.03202,0.8086,882.6,Actual
2023-01-01,Holding Company,South Pit,Gold,77208.4,0.02246,0.8554,1212.5,Actual
2023-01-01,Holding Company,South Pit,Copper,43557.8,0.00418,0.9458,384.1,Budget
2023-01-01,Holding Company,South Pit,Zinc,60225.2,0.00133,0.8324,1677.2,Budget
2023-01-01,Holding Company,South Pit,Nickel,82808.6,0.00885,0.8095,1285.4,Budget
2023-01-01,Holding Company,Mill A,Gold,75195.6,0.00356,0.9197,1242.9,Actual
2023-01-01,Holding Company,Mill A,Copper,41261.7,0.00168,0.7832,225.0,Actual
2023-01-01,Holding Company,Mill A,Zinc,110637.8,0.0194,1.0,2316.3,Actual
2023-01-01,Holding Company,Mill A,Nickel,35906.0,0.01728,0.5053,58.9,Actual
2023-01-01,Holding Company,Mill B,Gold,127109.8,0.0385,1.0,840.8,Actual
2023-01-01,Holding Company,Mill B,Copper,86449.0,0.01926,0.9101,1413.8,Budget
2023-01-01,Holding Company,Mill B,Zinc,63646.4,0.00193,0.8155,1124.3,Actual
2023-01-01,Holding Company,Mill B,Nickel,41825.5,0.00445,0.934,61.4,Budget
2023-01-01,Alberta,North Pit,Gold,42381.7,0.00496,0.9233,1681.7,Budget
2023-01-01,Alberta,North Pit,Copper,31970.5,0.0247,0.7494,1086.2,Budget
2023-01-01,Alberta,North Pit,Zinc,32642.8,0.02419,0.8856,345.6,Budget
2023-01-01,Alberta,North Pit,Nickel,62910.1,0.00841,1.0,952.0,Actual
2023-01-01,Alberta,South Pit,Gold,37073.1,0.00894,0.7617,950.0,Budget
2023-01-01,Alberta,South Pit,Copper,67071.0,0.02433,0.8364,360.3,Budget
2023-01-01,Alberta,South Pit,Zinc,67726.3,0.02347,0.8466,1481.9,Actual
2023-01-01,Alberta,South Pit,Nickel,35213.3,0.02889,0.8866,1782.4,Budget
2023-01-01,Alberta,Mill A,Gold,67163.3,0.03001,0.8034,1637.7,Actual
2023-01-01,Alberta,Mill A,Copper,97401.5,0.01358,1.0,2567.8,Actual
2023-01-01,Alberta,Mill A,Zinc,42367.5,0.00231,0.6988,467.8,Actual
2023-01-01,Alberta,Mill A,Nickel,30931.6,0.00915,0.6164,1126.6,Actual
2023-01-01,Alberta,Mill B,Gold,85454.1,0.00823,0.7247,1114.1,Budget
2023-01-01,Alberta,Mill B,Copper,81132.4,0.02586,0.9947,205.4,Actual
2023-01-01,Alberta,Mill B,Zinc,79497.0,0.01188,0.7746,327.5,Actual
2023-01-01,Alberta,Mill B,Nickel,88222.4,0.02448,0.8039,1137.0,Budget
2023-01-01,Quebec,North Pit,Gold,93377.1,0.01707,0.7474,613.3,Budget
2023-01-01,Quebec,North Pit,Copper,52199.5,0.01185,0.6591,579.0,Actual
2023-01-01,Quebec,North Pit,Zinc,46188.2,0.01702,0.865,1244.7,Budget
2023-01-01,Quebec,North Pit,Nickel,96206.6,0.00615,0.849,1538.7,Budget
2023-01-01,Quebec,South Pit,Gold,49292.0,0.02966,0.8483,276.8,Budget
2023-01-01,Quebec,South Pit,Copper,47962.2,0.0157,0.8039,1707.5,Actual
2023-01-01,Quebec,South Pit,Zinc,43228.9,0.00901,0.7838,1301.5,Actual
2023-01-01,Quebec,South Pit,Nickel,91202.1,0.00327,0.731,1015.5,Budget
2023-01-01,Quebec,Mill A,Gold,49554.4,0.00435,0.7112,1886.3,Actual
2023-01-01,Quebec,Mill A,Copper,34040.0,0.00522,0.8178,1911.4,Budget
2023-01-01,Quebec,Mill A,Zinc,40983.0,0.00494,0.7997,998.1,Actual
2023-01-01,Quebec,Mill A,Nickel,51366.7,0.00648,0.7949,1588.0,Budget
2023-01-01,Quebec,Mill B,Gold,92652.7,0.01548,0.7966,1480.8,Budget
2023-01-01,Quebec,Mill B,Copper,58808.7,0.02469,1.0,1822.6,Actual
2023-01-01,Quebec,Mill B,Zinc,32000.1,0.01205,0.6475,1050.1,Actual
2023-01-01,Quebec,Mill B,Nickel,42475.0,0.00908,0.6416,884.4,Actual
2023-01-01,Ontario,North Pit,Gold,118127.2,0.00508,1.0,2178.6,Actual
2023-01-01,Ontario,North Pit,Copper,107574.7,0.02301,1.0,1933.2,Actual
2023-01-01,Ontario,North Pit,Zinc,85865.5,0.01316,0.7913,388.2,Budget
2023-01-01,Ontario,North Pit,Nickel,80737.0,0.02598,0.7745,1401.3,Actual
2023-01-01,Ontario,South Pit,Gold,60814.3,0.00415,0.8705,1104.6,Budget
2023-01-01,Ontario,South Pit,Copper,73048.5,0.01501,0.9238,994.8,Budget
2023-01-01,Ontario,South Pit,Zinc,96558.4,0.01963,0.7847,420.2,Actual
2023-01-01,Ontario,South Pit,Nickel,72092.2,0.00347,1.0,132.0,Actual
2023-01-01,Ontario,Mill A,Gold,39978.6,0.01191,0.79,1047.1,Actual
2023-01-01,Ontario,Mill A,Copper,56280.1,0.01667,0.7071,781.6,Actual
2023-01-01,Ontario,Mill A,Zinc,58720.6,0.00778,0.6155,435.5,Actual
2023-01-01,Ontario,Mill A,Nickel,58964.2,0.02211,0.7562,1010.9,Actual
2023-01-01,Ontario,Mill B,Gold,56133.9,0.01341,0.9169,1668.4,Budget
2023-01-01,Ontario,Mill B,Copper,48042.0,0.01395,0.9116,1481.1,Actual
2023-01-01,Ontario,Mill B,Zinc,50773.5,0.01896,0.9405,249.0,Budget
2023-01-01,Ontario,Mill B,Nickel,59317.2,0.00478,0.843,1190.2,Budget
2023-01-01,British Columbia,North Pit,Gold,90997.6,0.00883,0.8697,737.9,Budget
2023-01-01,British Columbia,North Pit,Copper,60840.3,0.02075,0.8468,1670.3,Budget
2023-01-01,British Columbia,North Pit,Zinc,101293.5,0.01044,0.867,874.5,Actual
2023-01-01,British Columbia,North Pit,Nickel,50335.3,0.02275,0.6206,28.4,Actual
2023-01-01,British Columbia,South Pit,Gold,55655.6,0.02474,1.0,2226.5,Actual
2023-01-01,British Columbia,South Pit,Copper,68011.4,0.01099,0.6059,513.4,Actual
2023-01-01,British Columbia,South Pit,Zinc,81719.3,0.02906,0.899,1195.4,Budget
2023-01-01,British Columbia,South Pit,Nickel,99196.0,0.01432,0.7705,1445.9,Budget
2023-01-01,British Columbia,Mill A,Gold,48504.7,0.00924,0.9008,1607.8,Budget
2023-01-01,British Columbia,Mill A,Copper,102656.7,0.00989,0.8486,918.1,Actual
2023-01-01,British Columbia,Mill A,Zinc,75180.9,0.00816,0.8113,1263.6,Actual
2023-01-01,British Columbia,Mill A,Nickel,59572.3,0.00428,0.9152,1873.9,Actual
2023-01-01,British Columbia,Mill B,Gold,67266.4,0.00464,0.741,1923.7,Budget
2023-01-01,British Columbia,Mill B,Copper,67168.9,0.01337,0.9457,80.5,Budget
2023-01-01,British Columbia,Mill B,Zinc,64840.9,0.00733,0.8923,151.0,Budget
