Date,Entity,Site,Commodity,Headcount,TrainingHours,ContractorRatio,Scenario
2023-01-01,Canada,North Pit,Gold,151.0,6.8,0.43,Budget
2023-01-01,Canada,North Pit,Copper,113.1,7.1,0.21,Actual
2023-01-01,Canada,North Pit,Zinc,158.1,4.5,0.44,Actual
2023-01-01,Canada,North Pit,Nickel,130.3,7.4,0.2,Budget
2023-01-01,Canada,South Pit,Gold,188.8,4.2,0.57,Actual
2023-01-01,Canada,South Pit,Copper,200.9,6.0,0.34,Actual
2023-01-01,Canada,South Pit,Zinc,111.3,6.5,0.36,Actual
2023-01-01,Canada,South Pit,Nickel,173.6,3.3,0.29,Budget
2023-01-01,Canada,Mill A,Gold,131.6,2.7,0.27,Actual
2023-01-01,Canada,Mill A,Copper,131.4,4.6,0.37,Budget
2023-01-01,Canada,Mill A,Zinc,153.3,4.8,0.4,Budget
2023-01-01,Canada,Mill A,Nickel,141.1,9.0,0.42,Budget
2023-01-01,Canada,Mill B,Gold,152.8,6.1,0.53,Actual
2023-01-01,Canada,Mill B,Copper,188.0,10.9,0.15,Actual
2023-01-01,Canada,Mill B,Zinc,126.6,2.2,0.28,Actual
2023-01-01,Canada,Mill B,Nickel,133.9,6.3,0.47,Budget
2023-01-01,Holding Company,North Pit,Gold,125.0,4.7,0.26,Budget
2023-01-01,Holding Company,North Pit,Copper,156.2,2.3,0.14,Budget
2023-01-01,Holding Company,North Pit,Zinc,163.7,9.8,0.45,Budget
2023-01-01,Holding Company,North Pit,Nickel,151.2,9.6,0.15,Actual
2023-01-01,Holding Company,South Pit,Gold,115.4,5.3,0.21,Actual
2023-01-01,Holding Company,South Pit,Copper,151.1,2.6,0.33,Budget
2023-01-01,Holding Company,South Pit,Zinc,122.9,2.2,0.21,Budget
2023-01-01,Holding Company,South Pit,Nickel,147.8,3.5,0.39,Actual
2023-01-01,Holding Company,Mill A,Gold,131.2,2.3,0.14,Budget
2023-01-01,Holding Company,Mill A,Copper,179.7,5.4,0.31,Budget
2023-01-01,Holding Company,Mill A,Zinc,151.2,8.0,0.25,Budget
2023-01-01,Holding Company,Mill A,Nickel,154.7,5.1,0.3,Budget
2023-01-01,Holding Company,Mill B,Gold,164.1,5.7,0.21,Budget
2023-01-01,Holding Company,Mill B,Copper,152.5,5.8,0.3,Budget
2023-01-01,Holding Company,Mill B,Zinc,169.0,9.4,0.28,Actual
2023-01-01,Holding Company,Mill B,Nickel,151.7,4.7,0.33,Actual
2023-01-01,Alberta,North Pit,Gold,110.5,4.2,0.26,Actual
2023-01-01,Alberta,North Pit,Copper,141.4,2.1,0.34,Budget
2023-01-01,Alberta,North Pit,Zinc,177.2,6.4,0.28,Budget
2023-01-01,Alberta,North Pit,Nickel,181.1,8.7,0.17,Actual
2023-01-01,Alberta,South Pit,Gold,171.9,9.8,0.21,Budget
2023-01-01,Alberta,South Pit,Copper,169.8,6.0,0.34,Budget
2023-01-01,Alberta,South Pit,Zinc,154.7,3.1,0.13,Actual
2023-01-01,Alberta,South Pit,Nickel,231.3,6.0,0.39,Actual
2023-01-01,Alberta,Mill A,Gold,158.9,12.6,0.14,Actual
2023-01-01,Alberta,Mill A,Copper,93.1,3.3,0.34,Actual
2023-01-01,Alberta,Mill A,Zinc,162.1,9.6,0.4,Budget
2023-01-01,Alberta,Mill A,Nickel,173.4,2.4,0.13,Budget
2023-01-01,Alberta,Mill B,Gold,129.6,5.4,0.33,Budget
2023-01-01,Alberta,Mill B,Copper,136.5,4.6,0.42,Budget
2023-01-01,Alberta,Mill B,Zinc,176.8,7.1,0.24,Actual
2023-01-01,Alberta,Mill B,Nickel,116.6,3.0,0.36,Actual
2023-01-01,Quebec,North Pit,Gold,162.1,9.1,0.27,Budget
2023-01-01,Quebec,North Pit,Copper,149.3,6.3,0.3,Budget
2023-01-01,Quebec,North Pit,Zinc,160.8,3.6,0.49,Budget
2023-01-01,Quebec,North Pit,Nickel,127.2,5.2,0.27,Actual
2023-01-01,Quebec,South Pit,Gold,146.8,7.1,0.29,Actual
2023-01-01,Quebec,South Pit,Copper,133.4,4.1,0.5,Budget
2023-01-01,Quebec,South Pit,Zinc,154.5,3.5,0.37,Budget
2023-01-01,Quebec,South Pit,Nickel,96.7,7.1,0.31,Actual
